Title,Authors,Year,Journal,Language,CitedByCount,Affiliation,Predicted Subject Area
Social construction of nuclear risks: Analysis of institutional communicative discourses on astravets nuclear power plant,Vilčinskas V.,2018,"Filosofija, Sociologija",Unknown Language,2,Kaunas University of Technology,ENGI
Conflict resolution on discrimination: The dichotomy of potential and actual action in Lithuania,Žvinklienė A.,2018,"Filosofija, Sociologija",Unknown Language,0,Lietuvos socialinių tyrimų centras,SOCI
"RNA profile diversity across arthropoda: Guidelines, methodological artifacts, and expected outcomes",Deleo D.M.,2018,Biology Methods and Protocols,Unknown Language,14,Florida International University,"BIOC, MEDI"
Preface,Duve T.,2018,American Journal of Comparative Law,Unknown Language,4,Goethe-Universität Frankfurt am Main,"MEDI, SOCI"
Multiculturalism as covering: On the accommodation of minority religions in Israel,Karayanni M.,2018,American Journal of Comparative Law,Unknown Language,11,Hebrew University of Jerusalem,"MEDI, SOCI"
Optimization of the structures material based on the integrated approach,Sokolova Y.A.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,1,Ivanovo State Polytechnic University,"ENGI, MATE"
High-performance concretes with modifying micro additives of microsilica and diopside,Ilina L.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,0,Novosibirsk State University of Architecture and Civil Engineering,"ENGI, MATE"
Numerical modeling of heat transfer through the air interlayer considering the surface radiation,Umnyakova N.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,4,Russian Academy of Architecture and Building Sciences,"ENGI, MATE"
Computational modeling of architectural and construction aerodynamics problems,Meshkova V.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,4,Siberian Federal University,"ENGI, MATE"
Numerical analysis of long-haul structure laying on nonlinear foundation subjected to moving load,Smirnov V.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,2,Moscow State University of Civil Engineering,"ENGI, MATE"
Finite element simulation of flexible ropes,Baenkhaev A.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,1,Far Eastern Federal University,"ENGI, MATE"
"Brief methodology calculation of steel structures freeform grid shell on the example coating Philharmonic building in the park ""zaryadye""",Lunev Y.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,1,Supporting Systems Company,"ENGI, MATE"
Analysis of thin nonlinear plates' forced vibrations in a viscoelastic medium under the conditions of the additive combinational internal resonance,Shitikova M.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,0,Voronezh State Technical University,"ENGI, MATE"
The application of cluster analysis to identify the occupational profile of people injured in accidents in the Polish construction industry,Szóstak M.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,4,Politechnika Wrocławska,"ENGI, MATE"
Physical and mathematical modelling of the mass transfer process in heterogeneous systems under corrosion destruction of reinforced concrete structures,Fedosov S.V.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,14,Ivanovo State Polytecnical University,"ENGI, MATE, MATH"
About choosing the form of perturbed body motion differential equations system,Petelina V.D.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,5,Moscow State University of Civil Engineering,"ENGI, MATE, MATH"
Interaction of the pile and surrounding soil during vibration driving,Ter-Martirosyan Z.G.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,3,Moscow State University of Civil Engineering,"ENGI, MATE"
Investigation of the stressed state of a cut-out plate,Lazarev A.A.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,0,Novosibirsk State University of Architecture and Civil Engineering,"ENGI, MATE"
Solving the problems of buildings and structures aerodynamics with a vortex method,Gutnikov V.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,2,TsNIIIP Ministry of Construction of Russia,"ENGI, MATE"
Quantum risks of the extreme temperature loads implementation on building objects in Canberra,Hlystunov M.S.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,3,Moscow State University of Civil Engineering,"ENGI, MATE"
On the development of gravitational mechanics theory of loading and deformation of bodies moving at high speed,Karpenko N.I.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,0,Russian Academy of Architecture and Construction Sciences; Russian Academy of Architecture and Construction Sciences,"ENGI, MATE"
Investigation of stress-strain state in the beam with preformed cracks,Adishchev V.V.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,1,Novosibirsk State University of Architecture and Civil Engineering,"ENGI, MATE"
Analysis of the hardness of node connections of metal constructions using modern CAE-systems,Alpatov V.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,4,Samara State Technical University,"ENGI, MATE"
"Non-Linear calculation and optimization of mast construction, strengthened by stretches",Grebenyuk G.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,0,Novosibirsk State University of Architecture and Civil Engineering,"ENGI, MATE"
Research of permafrost soil thawing under the structural foundation platform,Inzhutov I.S.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,6,Siberian Federal University,"ENGI, MATE"
Analysis of reinforced concrete space frame deformation with composite sections elements,Alkadi S.A.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,3,Southwest State University,"ENGI, MATE"
"Applied modeling multiscale (1D-3D) methods for design, research and optimization of buildings air exchange systems",Filimonov S.A.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,0,"Siberian Federal University; Institute of Thermophysics, Siberian Branch, Russian Academy of Sciences","ENGI, MATE"
The stability of cylindrical tanks filled with liquid under the influence of impulse loads,Leonenko Y.S.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,0,V.I. Vernadsky Crimean Federal University,"ENGI, MATE"
Solution of boundary problems of structural mechanics with the combined application use of Discrete-Continual Finite Element Method and Finite Element Method,Akimov P.A.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,0,Tomsk State University of Architecture and Building; RUDN University; Russian Academy of Architecture and Construction Sciences; Research and Development Centre StaDyO,"ENGI, MATE"
The stability of a compressed resiliently supported rod of variable stiffness,Zverev V.V.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,1,Lipetsk State Technical University,"ENGI, MATE"
"Numerical modeling of reactor clarifier characteristics, taking into account the nonstationary motion of the loading particles",Skolubovich Y.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,0,Novosibirsk State University of Architecture and Civil Engineering,"ENGI, MATE"
Computer-aided design of civil building structural connections constructed in earthquake-prone regions,Talantova K.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,2,Emperor Alexander I St. Petersburg State Transport University,"COMP, ENGI, MATE"
To the approximation of rectangular and complex cross-sections of reinforced concrete structures under the action torsion with bending,Dem'Yanov A.I.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,3,Southwest State University,"ENGI, MATE"
Calculation of the load-bearing capacity of the brickwork fragment with uncertainty high degree in the materials properties,Kucherenko I.V.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,0,Novosibirsk State University of Architecture and Civil Engineering,"ENGI, MATE"
The model of fiber-reinforced concrete element deformation under the conditions of plane stress state and subjected to radiation and its identification,Garibov R.B.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,0,National Research Nuclear University MEPhI,"ENGI, MATE"
Numerical investigations of the connections between cold-formed steel curtain walls and reinforced concrete slabs,Nazmeeva T.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,1,Peter the Great St. Petersburg Polytechnic University,"ENGI, MATE"
Computer simulation-based analysis of wind load effect on structural capacity of skywalk between Hyatt Regency hotel and multipurpose building complex Iset Tower in Ekaterinburg,Alekhin V.N.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,0,Ural Federal University,"COMP, ENGI, MATE"
Stress-strain state in constructions corner areas,Frishter L.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,0,Moscow State University of Civil Engineering,"ENGI, MATE"
Preface,Travush V.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,0,Russian Academy of Architecture and Construction Sciences,"ENGI, MATE"
The increase of heat-insulating properties of foam concrete by introducing mineral additives,Bartenjeva E.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,3,Novosibirsk State University of Architecture and Civil Engineering,"ENGI, MATE"
Mathematical modeling of turbulent flow in vicinity of a prism installed on a plate taking into account aeroelastic effects,Pogudalina S.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,0,Khristianovich Institute of Theoretical and Applied Mechanics SB RAS,"ENGI, MATE, MATH"
The solution of structural class optimization problems. Part 2: Numerical examples,Lyakhovich L.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,1,Tomsk State University of Architecture and Building,"ENGI, MATE"
"Probabilistic analysis and reliability evaluation of the harmonically loaded rod systems with dynamic vibration dampers, based on the use of modern software complexes",Gerber Y.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,3,Novosibirsk State University of Architecture and Civil Engineering,"ENGI, MATE"
Calculation of the cryogenic cistern model for delivery liquefied natural gas on strength,Medvedeva O.N.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,0,Yuri Gagarin State Technical University of Saratov,"ENGI, MATE"
Numerical investigation of the long-term work of arches under material creep conditions,Sidorov V.N.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,2,Moscow Architectural Institute; Perm National Research Polytechnic University; Politechnika Swietokrzyska w Kielcach; Russian University of Transport; RUDN University,"ENGI, MATE"
Analytical model for calculation the radon-protective characteristics of underground walling,Bakaeva N.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,6,Southwest State University,"ENGI, MATE"
Nonlocal damping consideration for the computer modelling of linear and nonlinear systems vibrations under the stochastic loads,Fyodorov V.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,5,Russian University of Transport,"COMP, ENGI, MATE, MATH"
"Development and approbation of the mathematical multi-model basis of the monitoring system for the ""heterogeneous filtering base - Structures"" systems of the responsible building objects (on the example of Zagorskaya PSPP)",Dmitriev D.S.,2018,IOP Conference Series: Materials Science and Engineering,Unknown Language,0,Research and Development Centre StaDyO,"ENGI, MATE"
